epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.857,1.11456,3.56322,1.12202,0.05527,0.65385,0.24057,0.19178,0.92842,3.29028,0.92732,0.00028179,0.00028179,0.00028179
2,25.7643,1.02362,2.0859,1.02555,0.43848,0.3985,0.45606,0.34992,0.93046,2.26862,0.9639,0.000553772,0.000553772,0.000553772
3,35.9891,0.96155,1.40094,1.02661,0.53301,0.78669,0.60987,0.45783,0.90187,1.40202,1.00759,0.000806556,0.000806556,0.000806556
4,47.0682,0.91272,1.14343,1.00546,0.6265,0.83626,0.7131,0.52972,0.86164,1.10562,0.98528,0.000819009,0.000819009,0.000819009
5,58.5278,0.898,1.02517,1.01068,0.68858,0.80335,0.75835,0.5714,0.85353,1.09461,0.97906,0.000789012,0.000789012,0.000789012
6,69.9822,0.8721,0.92345,0.99263,0.67056,0.80433,0.75353,0.57146,0.83672,1.03978,0.97488,0.000759015,0.000759015,0.000759015
7,81.1764,0.85821,0.85914,0.98836,0.79993,0.86051,0.87049,0.66151,0.81103,0.88898,0.95977,0.000729018,0.000729018,0.000729018
8,90.7036,0.85384,0.79848,0.98787,0.827,0.87754,0.89146,0.68094,0.78914,0.85832,0.95462,0.000699021,0.000699021,0.000699021
9,102.183,0.84055,0.76551,0.97905,0.85027,0.88433,0.91056,0.69614,0.77258,0.82211,0.94926,0.000669024,0.000669024,0.000669024
10,113.587,0.84303,0.73404,0.97941,0.86068,0.90767,0.92371,0.70155,0.79784,0.7298,0.96161,0.000639027,0.000639027,0.000639027
11,124.926,0.83018,0.7104,0.97338,0.86437,0.89128,0.92138,0.71235,0.77014,0.68687,0.94357,0.00060903,0.00060903,0.00060903
12,135.728,0.82691,0.6983,0.97097,0.89624,0.9005,0.94161,0.71794,0.76494,0.65572,0.94154,0.000579033,0.000579033,0.000579033
13,147.887,0.82119,0.67702,0.96807,0.90447,0.91759,0.95369,0.72375,0.77566,0.61249,0.94645,0.000549036,0.000549036,0.000549036
14,159.006,0.82304,0.65005,0.967,0.90831,0.91484,0.94778,0.72708,0.76469,0.62729,0.94771,0.000519039,0.000519039,0.000519039
15,170.309,0.80944,0.63749,0.9597,0.87152,0.91881,0.94376,0.72308,0.7842,0.6227,0.94268,0.000489042,0.000489042,0.000489042
16,181.83,0.8094,0.62624,0.96812,0.91253,0.92718,0.95669,0.74021,0.74896,0.5864,0.93298,0.000459045,0.000459045,0.000459045
17,191.984,0.79874,0.61058,0.9582,0.88993,0.91754,0.94558,0.72862,0.77612,0.62662,0.94279,0.000429048,0.000429048,0.000429048
18,202.832,0.79322,0.60675,0.95634,0.91328,0.92282,0.96237,0.7392,0.76053,0.55449,0.94507,0.000399051,0.000399051,0.000399051
19,214.233,0.79543,0.59934,0.96137,0.91193,0.92516,0.95882,0.73351,0.77455,0.56684,0.94416,0.000369054,0.000369054,0.000369054
20,225.777,0.79138,0.58322,0.95232,0.9247,0.93789,0.96179,0.74789,0.74285,0.54421,0.92834,0.000339057,0.000339057,0.000339057
21,239.76,0.78083,0.63486,0.95161,0.91678,0.92329,0.96025,0.73448,0.76411,0.56734,0.94568,0.00030906,0.00030906,0.00030906
22,250.534,0.75958,0.56901,0.93351,0.90675,0.92751,0.95255,0.73611,0.75431,0.56539,0.93178,0.000279063,0.000279063,0.000279063
23,259.868,0.75533,0.54127,0.93578,0.93294,0.9216,0.96435,0.735,0.77535,0.53903,0.94466,0.000249066,0.000249066,0.000249066
24,270.57,0.74783,0.52282,0.93304,0.91413,0.93522,0.95798,0.73642,0.7626,0.54197,0.93587,0.000219069,0.000219069,0.000219069
25,281.062,0.74489,0.51842,0.92721,0.92134,0.93592,0.96247,0.73892,0.75934,0.53628,0.93788,0.000189072,0.000189072,0.000189072
26,290.822,0.73914,0.5046,0.92894,0.93539,0.93559,0.96504,0.73667,0.76077,0.51834,0.93839,0.000159075,0.000159075,0.000159075
27,301.327,0.73132,0.50315,0.92643,0.91643,0.94591,0.96416,0.74217,0.74655,0.51771,0.93085,0.000129078,0.000129078,0.000129078
28,312.078,0.72767,0.49313,0.9229,0.92087,0.93703,0.96148,0.74,0.75656,0.5065,0.93775,9.9081e-05,9.9081e-05,9.9081e-05
29,323.063,0.72327,0.49126,0.91764,0.93252,0.93413,0.96645,0.74161,0.75361,0.51204,0.93652,6.9084e-05,6.9084e-05,6.9084e-05
30,333.206,0.71583,0.48392,0.91761,0.91698,0.94927,0.96674,0.74884,0.73904,0.5012,0.92804,3.9087e-05,3.9087e-05,3.9087e-05
